cnpj_basico;razao_social;natureza_juridica;qualificacao_responsavel;capital_social;porte_empresa;ente_federativo_responsavel
41750737;VALE CANAA AGROPECUARIA LTDA;2062;49;6850000.0;03;
41753254;ATLANTICO NORTE AGRONEGOCIOS E EMPREENDIMENTOS IMOBILIARIOS LTDA;2062;49;7065639.0;03;
41753516;ELLO SOLUCOES E NEGOCIOS IMOBILIARIOS LTDA;2062;49;3200000.0;03;
41754067;M. MARTINS REPRESENTACOES COMERCIO E SERVICOS LTDA;2062;49;10000000.0;03;
41761076;AGROBULLS AGROPECUARIA LTDA;2062;05;2064020.0;03;
41762843;TRADE BUSINESS GRAOS LTDA;2062;49;220149000.0;03;
41763926;JM. CONSTRUTORA E LOCACAO LTDA;2062;49;5000000.0;03;
41765225;NAV PRODUCOES LTDA;2062;49;10000000.0;03;
41766624;E. DE MOURA LTDA;2062;49;3000000.0;03;
41767338;MAXIRAFIA INDUSTRIA IMPORTACAO EXPORTACAO DE EMBALAGENS LTDA;2062;49;7350000.0;03;
41768160;ROSA MONTEIRO ADMINISTRACAO LTDA;2062;05;2338000.0;03;
41769478;CMF INCORPORADORA LTDA;2062;49;3428571.0;03;
41774767;AUTO POSTO E COMERCIAL CRUZEIRO DO SUL LTDA;2062;49;3000000.0;03;
41776755;PORTO BRASIL ADMINISTRADORA DE IMOVEIS LTDA;2062;49;4839500.0;03;
45922427;A M ALVES HOLDING LTDA;2062;49;2130000.0;03;
45923284;HAROLDO AZEVEDO INCORPORACOES LTDA;2062;49;3000000.0;03;
45924707;BL SERVICOS ESPORTIVOS LTDA;2062;49;4500000.0;03;
45926568;AMSP BRASIL SERVICOS PORTUARIOS E LOGISTICA LTDA;2062;49;4500000.0;03;
45942222;LMA PATRIMONIAL LTDA;2062;49;4836000.0;03;
45942683;3CANADA NEGOCIOS E EMPREENDIMENTOS LTDA;2062;49;45380000.0;03;
45943606;MAGALHAES CONSTRUCOES E ENGENHARIA LTDA;2062;49;8000000.0;03;
